# MPPT Simulator - 模擬結果匯出
# 日照強度(W/m2),1000
# 溫度(degC),25
# Vmpp(V),0.452763,Impp(A),1.48615,Pmpp(W),0.672873,FF,0.250455,eta(%),6.72873
#
Voltage(V),Current(A),Power(W)
0.618776,0.941743,0.582728
0.621794,0.931839,0.579412
0.624813,0.921934,0.576036
0.627831,0.912030,0.572600
0.630849,0.902125,0.569105
0.633868,0.892220,0.565549
0.636886,0.882314,0.561934
0.639905,0.872409,0.558259
0.642923,0.862503,0.554523
0.645941,0.852597,0.550728
0.648960,0.842691,0.546873
0.651978,0.832785,0.542958
0.654997,0.822879,0.538983
0.658015,0.812972,0.534948
0.661034,0.803065,0.530853
0.664052,0.793158,0.526698
0.667070,0.783251,0.522483
0.670089,0.773343,0.518209
0.673107,0.763436,0.513874
0.676126,0.753528,0.509480
0.679144,0.743620,0.505025
0.682162,0.733712,0.500511
0.685181,0.723803,0.495936
0.688199,0.713895,0.491302
0.691218,0.703986,0.486607
0.694236,0.694077,0.481853
0.697255,0.684168,0.477039
0.700273,0.674258,0.472165
0.703291,0.664349,0.467231
0.706310,0.654439,0.462237
0.709328,0.644529,0.457183
0.712347,0.634619,0.452069
0.715365,0.624709,0.446895
0.718384,0.614798,0.441661
0.721402,0.604887,0.436367
0.724420,0.594977,0.431013
0.727439,0.585066,0.425599
0.730457,0.575154,0.420126
0.733476,0.565243,0.414592
0.736494,0.555331,0.408998
0.739512,0.545419,0.403344
0.742531,0.535508,0.397631
0.745549,0.525595,0.391857
0.748568,0.515683,0.386024
0.751586,0.505770,0.380130
0.754605,0.495858,0.374177
0.757623,0.485945,0.368163
0.760641,0.476032,0.362089
0.763660,0.466119,0.355956
0.766678,0.456205,0.349763
0.769697,0.446292,0.343509
0.772715,0.436378,0.337196
0.775733,0.426464,0.330822
0.778752,0.416550,0.324389
0.781770,0.406635,0.317895
0.784789,0.396721,0.311342
0.787807,0.386806,0.304729
0.790826,0.376891,0.298055
0.793844,0.366976,0.291322
0.796862,0.357061,0.284529
0.799881,0.347146,0.277675
0.802899,0.337230,0.270762
0.805918,0.327314,0.263788
0.808936,0.317398,0.256755
0.811954,0.307482,0.249662
